,Unnamed: 0,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp,sequence
0,826,2000-12-01,Smoke,0.20596205962059624,0.0,0.0,0.5844907407407407,0.3208955223880601,0.0,0.0,10.111111111111109,0.0,0.0,0.03981481481481482,0.13393393393393396,2000.0,12.0,48.0,1.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,1.0,0.4999999999999999,0.91462787454903,0.2205538945709096,0,12,18,10,5,1.0,0
1,830,2000-12-02,Smoke,0.15447154471544713,0.0,0.0,0.5185185185185186,0.3341625207296855,0.0,0.0,9.555555555555557,0.0,0.0,0.03537037037037037,0.11681681681681685,2000.0,12.0,48.0,2.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,1.0,0.4999999999999999,0.91462787454903,0.2205538945709096,0,10,19,9,5,0.0,0
2,834,2000-12-03,Smoke,0.16768292682926828,0.0,0.0,0.5221354166666666,0.3302238805970153,0.0,0.0,10.125,0.0,0.0,0.023125,0.07567567567567568,2000.0,12.0,48.0,3.0,11.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9111322514075068,0.4458734122634725,1.0,0.5,0.91462787454903,0.2205538945709096,0,11,19,5,3,1.0,0
1,830,2000-12-02,Smoke,0.15447154471544713,0.0,0.0,0.5185185185185186,0.3341625207296855,0.0,0.0,9.555555555555557,0.0,0.0,0.03537037037037037,0.11681681681681685,2000.0,12.0,48.0,2.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,1.0,0.4999999999999999,0.91462787454903,0.2205538945709096,0,10,19,9,5,0.0,1
2,834,2000-12-03,Smoke,0.16768292682926828,0.0,0.0,0.5221354166666666,0.3302238805970153,0.0,0.0,10.125,0.0,0.0,0.023125,0.07567567567567568,2000.0,12.0,48.0,3.0,11.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9111322514075068,0.4458734122634725,1.0,0.5,0.91462787454903,0.2205538945709096,0,11,19,5,3,1.0,1
3,838,2000-12-04,Smoke,0.19512195121951215,0.0,0.0,0.5266203703703703,0.3092868988391381,0.0,0.0,11.0,0.0,0.0,0.024629629629629626,0.106006006006006,2000.0,12.0,49.0,4.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,0,11,17,5,4,1.0,1
4,842,2000-12-05,Smoke,0.22764227642276424,0.0,0.0,0.5636574074074074,0.3001658374792705,0.0,0.0,11.777777777777779,0.0,0.0,0.0212962962962963,0.061261261261261274,2000.0,12.0,49.0,5.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,0,11,16,4,3,1.0,1
5,846,2000-12-06,Smoke,0.2804878048780488,0.0,0.0,0.6458333333333334,0.31063432835820914,0.0,0.0,11.75,0.0,0.0,0.015208333333333334,0.06891891891891892,2000.0,12.0,49.0,6.0,9.375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8981880775833476,0.5441941738241591,1.0,0.5,0.9447800549796659,0.2715850698049551,2,13,17,3,3,1.0,1
6,850,2000-12-07,Smoke,0.2774390243902439,0.0,0.0,0.5768229166666666,0.31809701492537346,0.0,0.0,13.375,0.0,0.0,0.017083333333333332,0.05,2000.0,12.0,49.0,7.0,9.125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8820118872644399,0.5161761903189075,1.0,0.5,0.9447800549796659,0.2715850698049551,2,12,18,3,2,2.0,1
7,854,2000-12-08,Smoke,0.3170731707317073,0.0,0.0,0.5669642857142857,0.3059701492537317,0.0,0.0,16.142857142857142,0.0,0.0,0.019047619047619046,0.06447876447876448,2000.0,12.0,49.0,8.0,13.428571428571427,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8722921870525479,0.4642857142857141,1.0,0.5,0.9447800549796659,0.2715850698049551,3,12,16,4,3,3.0,1
8,858,2000-12-09,Clear,0.36585365853658536,0.0,0.0,0.9375,0.29850746268656714,0.0,0.0,10.0,0.0,0.0,0.016666666666666666,0.0,2000.0,12.0,49.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,5,19,16,3,1,1.0,1
9,862,2000-12-10,Smoke,0.2953929539295393,0.0,0.0,0.6909722222222222,0.30679933665008297,0.0,0.0,11.444444444444445,0.0,0.0,0.02194444444444444,0.07252252252252253,2000.0,12.0,49.0,10.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,3,15,17,5,3,1.0,1
8,858,2000-12-09,Clear,0.36585365853658536,0.0,0.0,0.9375,0.29850746268656714,0.0,0.0,10.0,0.0,0.0,0.016666666666666666,0.0,2000.0,12.0,49.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,5,19,16,3,1,1.0,2
9,862,2000-12-10,Smoke,0.2953929539295393,0.0,0.0,0.6909722222222222,0.30679933665008297,0.0,0.0,11.444444444444445,0.0,0.0,0.02194444444444444,0.07252252252252253,2000.0,12.0,49.0,10.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,1.0,0.4999999999999999,0.9447800549796659,0.2715850698049551,3,15,17,5,3,1.0,2
10,866,2000-12-11,Smoke,0.2547425474254743,0.0,0.0,0.644675925925926,0.3126036484245442,0.0,0.0,10.777777777777779,0.0,0.0,0.02962962962962963,0.10570570570570573,2000.0,12.0,50.0,11.0,10.666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8932286679177839,0.4999999999999999,1.0,0.4999999999999999,0.9686823294520612,0.3258226899672376,1,13,17,7,4,1.0,2
11,870,2000-12-12,Smoke,0.24041811846689895,0.0,0.0,0.6041666666666667,0.31343283582089576,0.0,0.0,11.142857142857142,0.0,0.0,0.028809523809523813,0.07181467181467181,2000.0,12.0,50.0,12.0,10.142857142857142,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8747260566033288,0.4827727889358943,1.0,0.5,0.9686823294520612,0.3258226899672376,1,12,17,7,3,1.0,2
12,874,2000-12-13,Clear,0.3170731707317074,0.0,0.0,0.8125,0.2910447761194037,0.0,0.0,10.0,0.0,0.0,0.01833333333333333,0.0,2000.0,12.0,50.0,13.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.982962913144534,0.3705904774487392,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,3,17,15,4,1,1.0,2
13,878,2000-12-14,Clear,0.3170731707317074,0.0,0.0,0.8125,0.2910447761194037,0.0,0.0,10.0,0.0,0.0,0.021666666666666667,0.1,2000.0,12.0,50.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.982962913144534,0.6294095225512604,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,3,17,15,5,4,1.0,2
14,882,2000-12-15,Fog,0.3414634146341464,1.0,0.0,0.7864583333333333,0.3097014925373136,0.0,0.0,11.5,0.0,0.0,0.011666666666666664,0.0,2000.0,12.0,50.0,15.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9665063509461096,0.625,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,4,17,17,2,1,1.0,2
15,886,2000-12-16,Shallow Fog,0.4207317073170732,1.0,0.0,0.8619791666666666,0.31902985074626894,0.0,0.0,13.5,0.0,0.0,0.013125,0.0945945945945946,2000.0,12.0,50.0,16.0,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9423822514075068,0.6832407282861335,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,7,19,18,2,4,2.0,2
16,890,2000-12-17,Clear,0.4227642276422765,0.0,0.0,0.8159722222222222,0.3034825870646767,0.0,0.0,14.333333333333336,0.0,0.0,0.019444444444444445,0.0,2000.0,12.0,50.0,17.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8455220308284975,0.15447796917150222,1.0,0.4999999999999998,0.9686823294520609,0.3258226899672376,7,17,16,4,1,2.0,2
15,886,2000-12-16,Shallow Fog,0.4207317073170732,1.0,0.0,0.8619791666666666,0.31902985074626894,0.0,0.0,13.5,0.0,0.0,0.013125,0.0945945945945946,2000.0,12.0,50.0,16.0,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9423822514075068,0.6832407282861335,1.0,0.4999999999999999,0.9686823294520609,0.3258226899672376,7,19,18,2,4,2.0,3
16,890,2000-12-17,Clear,0.4227642276422765,0.0,0.0,0.8159722222222222,0.3034825870646767,0.0,0.0,14.333333333333336,0.0,0.0,0.019444444444444445,0.0,2000.0,12.0,50.0,17.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8455220308284975,0.15447796917150222,1.0,0.4999999999999998,0.9686823294520609,0.3258226899672376,7,17,16,4,1,2.0,3
17,894,2000-12-18,Clear,0.3902439024390245,0.0,0.0,0.8159722222222222,0.3084577114427862,0.0,0.0,13.0,0.0,0.0,0.021666666666666667,0.06666666666666668,2000.0,12.0,51.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.971991871678918,0.6264698408504201,1.0,0.4999999999999998,0.9859991624270542,0.3825053777610077,6,17,17,5,3,2.0,3
