,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
215,2000-06-11,Haze,0.6402439024390244,0.0,0.0,0.38281249999999994,0.19589552238806007,0.0,0.0,35.5,0.0,0.0,0.051250000000000004,0.2506756756756757,2000.0,6.0,23.0,11.0,7.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3167592717138665,0.9423822514075069,0.0,0.5000000000000001,0.04158557497284521,0.7016502720814761,15,7,4,13,9,9.0
219,2000-06-12,Haze,0.6243902439024391,0.0,0.0,0.3354166666666666,0.18805970149253798,0.0,0.0,37.0,0.0,0.0,0.045,0.33027027027027034,2000.0,6.0,24.0,12.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37928932188134523,0.9504983837549122,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,14,6,4,12,12,10.0
223,2000-06-13,Haze,0.7317073170731707,0.0,0.0,0.44791666666666663,0.18283582089552297,0.0,0.0,37.0,0.0,0.0,0.043333333333333335,0.35,2000.0,6.0,24.0,13.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4352952387243698,0.991481456572267,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,18,9,3,11,13,10.0
227,2000-06-14,Haze,0.6829268292682927,0.0,0.0,0.40972222222222215,0.1890547263681599,0.0,0.0,36.333333333333336,0.0,0.0,0.041666666666666664,0.4837837837837838,2000.0,6.0,24.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.988641942096356,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,8,4,11,17,9.0
231,2000-06-15,Clear,0.6747967479674797,0.0,0.0,0.375,0.18407960199005036,0.0,0.0,37.333333333333336,0.0,0.0,0.02333333333333333,0.6171171171171171,2000.0,6.0,24.0,15.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.988641942096356,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,7,3,5,19,10.0
235,2000-06-16,Clear,0.6829268292682927,0.0,0.0,0.41666666666666663,0.17910447761194082,0.0,0.0,36.0,0.0,0.0,0.041666666666666664,0.5,2000.0,6.0,24.0,16.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14644660940672627,0.8535533905932737,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,8,3,11,18,9.0
239,2000-06-17,Clear,0.676829268292683,0.0,0.0,0.39062499999999994,0.1884328358208962,0.0,0.0,37.25,0.0,0.0,0.035833333333333335,0.30067567567567566,2000.0,6.0,24.0,17.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4375,0.9747346320453218,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,7,4,9,11,10.0
243,2000-06-18,Clear,0.6829268292682927,0.0,0.0,0.36979166666666663,0.18283582089552297,0.0,0.0,38.0,0.0,0.0,0.03666666666666667,0.1,2000.0,6.0,24.0,18.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3879280659789933,0.9182581518689039,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,7,3,9,4,10.0
247,2000-06-19,Haze,0.6975609756097562,0.0,0.0,0.4499999999999999,0.19253731343283623,0.0,0.0,35.4,0.0,0.0,0.05,0.4108108108108108,2000.0,6.0,25.0,19.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37928932188134523,0.9504983837549122,0.0,0.5000000000000001,0.007012735030251738,0.5884839965021063,17,9,4,13,15,9.0
251,2000-06-20,Haze,0.7219512195121952,0.0,0.0,0.5041666666666667,0.19552238805970196,0.0,0.0,34.6,0.0,0.0,0.05166666666666667,0.28054054054054056,2000.0,6.0,25.0,20.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37928932188134523,0.9504983837549122,0.0,0.5000000000000001,0.007012735030251738,0.5884839965021063,18,10,4,14,10,9.0
255,2000-06-21,Haze,0.676829268292683,0.0,0.0,0.39843749999999994,0.18470149253731405,0.0,0.0,37.0,0.0,0.0,0.060416666666666674,0.075,2000.0,6.0,25.0,21.0,6.75,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41161165235168157,0.9548698042205854,0.0,0.5000000000000001,0.007012735030251738,0.5884839965021063,16,8,3,16,3,10.0
