,datetime, _conds, _dewptm, _fog, _hail, _hum, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wspdm,year,month,week,day,hour,night,morning,noon,evening,season_winter,season_spring,season_summer,season_monsoon,season_autumn,hour_cos,hour_sin,month_cos,month_sin,week_cos,week_sin, _dewptm_bars, _hum_bars, _pressurem_bars, _vism_bars, _wspdm_bars,Temp
216,2000-06-11,Haze,0.6463414634146343,0.0,0.0,0.40972222222222215,0.1803482587064682,0.0,0.0,35.0,0.0,0.0,0.05416666666666667,0.21306306306306308,2000.0,6.0,23.0,11.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0524158965555365,0.4410744349011211,0.0,0.5000000000000001,0.04158557497284521,0.7016502720814762,15,8,3,14,8,9.0
220,2000-06-12,Haze,0.6097560975609757,0.0,0.0,0.38541666666666663,0.17462686567164223,0.0,0.0,34.2,0.0,0.0,0.03966666666666666,0.40054054054054056,2000.0,6.0,24.0,12.0,12.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.049501616245087685,0.4792893218813453,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,14,7,2,10,14,9.0
224,2000-06-13,Haze,0.6682926829268293,0.0,0.0,0.5020833333333333,0.1716417910447765,0.0,0.0,32.4,0.0,0.0,0.03966666666666667,0.21081081081081082,2000.0,6.0,24.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04950161624508768,0.3792893218813454,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,10,2,10,8,8.0
228,2000-06-14,Partly Cloudy,0.6666666666666666,0.0,0.0,0.34201388888888884,0.16169154228855742,0.0,0.0,38.5,0.0,0.0,0.034999999999999996,0.17567567567567569,2000.0,6.0,24.0,14.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0524158965555365,0.4410744349011211,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,6,1,9,7,10.0
232,2000-06-15,Haze,0.6585365853658537,0.0,0.0,0.37847222222222215,0.1641791044776122,0.0,0.0,36.333333333333336,0.0,0.0,0.03777777777777778,0.21711711711711712,2000.0,6.0,24.0,15.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07682366478999082,0.25567902895182204,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,15,7,1,9,8,9.0
236,2000-06-16,Clear,0.7073170731707318,0.0,0.0,0.46875,0.16604477611940327,0.0,0.0,35.25,0.0,0.0,0.041666666666666664,0.46283783783783783,2000.0,6.0,24.0,16.0,11.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.025265367954678097,0.5625,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,17,9,1,11,17,9.0
240,2000-06-17,Unknown,0.7378048780487806,0.0,0.0,0.4921875,0.16231343283582111,0.0,0.0,35.75,0.0,0.0,0.030000000000000002,0.325,2000.0,6.0,24.0,17.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05761774859249312,0.3167592717138666,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,18,10,1,7,12,9.0
244,2000-06-18,Partly Cloudy,0.6829268292682927,0.0,0.0,0.4375,0.16977611940298543,0.0,0.0,35.25,0.0,0.0,0.028333333333333335,0.5878378378378378,2000.0,6.0,24.0,18.0,13.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05761774859249312,0.3167592717138666,0.0,0.5000000000000001,0.02093976166303524,0.6460925438300754,16,8,2,7,19,9.0
248,2000-06-19,Haze,0.702439024390244,0.0,0.0,0.48125,0.17761194029850796,0.0,0.0,34.6,0.0,0.0,0.04699999999999999,0.4600000000000001,2000.0,6.0,25.0,19.0,12.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05949165849555064,0.45517122639159735,0.0,0.5000000000000001,0.007012735030251738,0.5884839965021063,17,10,2,12,16,9.0
252,2000-06-20,Haze,0.6780487804878049,0.0,0.0,0.4833333333333333,0.18507462686567228,0.0,0.0,33.4,0.0,0.0,0.056666666666666664,0.4,2000.0,6.0,25.0,20.0,12.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.049501616245087685,0.4792893218813453,0.0,0.5000000000000001,0.007012735030251738,0.5884839965021063,16,10,3,15,14,8.0
